pair,entry_idx,exit_idx,direction,entry_price,pnl_bps,reason,hold,winner,H,dH_5,imb5,imb10,spread_bps,ret_5,ret_15,ret_30,atr_bps,vol_30,vwap_pos_30,vwap_pos_240,fwd_5,fwd_10,fwd_30,fwd_60,fwd_120,fwd_240
ETH,31,36,1,1998.75,-50.0,sl,5,0,0.3779243918567627,,0.8584300579378767,0.2887324499443607,0.5003126954341917,-27.939232170030024,85.27386028206018,62.17277486910922,12.757973733583507,13.169196458781029,48.12251193717643,49.125992886835945,-49.78111319574596,-49.03064415259561,-157.5984990619139,-131.0819262038776,-116.32270168855486,-298.43652282676715
ETH,37,206,-1,1989.35,200.0,tp,169,1,0.37458651758306816,-0.008735750652791974,-0.44466923830847116,-0.16541132194139693,0.5026767537142103,-41.798067777945036,-55.48751530905616,33.287101248264946,9.012276084435218,13.97064729090634,-8.280210978710567,-2.010418625545407,30.160605222810943,96.26259833614093,89.47646216100668,105.05944152612634,82.43898760901702,278.9855983110057
ETH,1008,1248,-1,1975.4,149.58995646451422,timeout,240,1,0.433649340957029,-0.03927825005304281,-0.5959820089955021,-0.2573896160412413,1.0124531740409308,-27.513441199483736,-29.526813880125236,-28.016860597187552,4.574118804147705,4.8450229697509055,-23.427676057317104,1.2327405250345258,-1.5186797610611258,-9.365191859875832,36.701427558974984,27.083122405588966,82.26182039080653,149.58995646451422
ETH,1600,1615,-1,1919.85,-50.0,sl,15,0,0.4141637584569387,-0.04235069758273924,-0.5576831370822787,-0.18898151629478857,0.5208740266173734,35.020777252174895,-38.396679206123,-45.111612351248496,9.264116616253537,9.891145379913164,-16.66548546538582,-26.643050128666303,-3.6461181863178815,-28.127197437299856,-90.63208063129879,-100.00781311039874,-100.52868713701591,-136.20855796025788
ETH,1616,1856,1,1931.5,61.351281387522775,timeout,240,1,0.42311226818034686,-0.011883498845261353,0.5091253851623607,-0.1102745704215498,1.0354646647673729,41.329832861116685,65.92490293665598,18.413340594931604,9.504086387337763,11.282055852427753,56.39816174752177,35.286242913059596,-5.436189490033438,36.50012943308356,42.712917421692254,48.40797307791745,22.521356458711228,61.351281387522775
ETH,2350,2590,1,1949.75,97.96127708680658,timeout,240,1,0.42458503343198917,-0.050200084070393114,0.34767496894042477,-0.04767850847567107,0.512886267469722,-26.0889582320889,-44.93119910137566,-29.149300672479672,5.678383675562468,5.757500994031098,-33.874730235181616,3.6946458302744567,25.131427106039883,25.131427106039883,38.46647006026327,61.033465828952416,76.42005385305906,97.96127708680658
ETH,2831,2857,-1,1950.25,-50.0,sl,26,0,0.43323185911827683,-0.06764923327994826,-0.6235506910305166,-0.12752524835394277,0.5127547750283761,58.797740928902,85.32643826761444,73.34521319180887,11.976486531031421,11.87292495927612,62.03153275801121,4.488032761202909,17.946417126009084,22.048455326240113,-42.558646327393035,35.38007947699096,-36.91834380207703,-83.5790283297011
ETH,3041,3281,-1,1969.55,-4.569571729582389,timeout,240,0,0.43188380467652215,0.01862144483436312,-0.4262513454528155,0.09370827473092778,0.5077301921754159,24.94082915531992,22.90018065698174,115.55943606995189,6.618625719435549,14.29457289017149,39.15253922830652,83.05201690351316,25.386509608793517,31.47927191490485,15.23190576527611,-6.600492498285426,13.200984996571963,-4.569571729582389
ETH,3578,3818,1,1960.65,-2.0401397495728446,timeout,240,0,0.4266822957761538,-0.019721079180649748,0.8357920006195068,-0.2327506445294318,0.5100349373939073,-27.973450652289955,-23.914315516319064,-47.20932003350331,3.060209624359964,3.122309491402943,-27.680985232652056,-26.786804606115933,-2.0401397495728446,2.0401397495728446,8.160558998291378,-19.891362558335235,7.650524060898167,-2.0401397495728446
ETH,5561,5801,-1,1976.35,124.47187998077203,timeout,240,1,0.4129181375804045,-0.05322297605059445,-0.13061082832022206,-0.020663502081731153,0.5059832519550507,-23.221181756228894,-16.669613315486444,-25.73872669005106,2.9455453595913235,3.43624387528399,-16.6506169946079,1.6211429155443824,12.143598046904236,18.215397070356907,26.31112910162603,48.57439218761805,156.3488248538969,124.47187998077203
ETH,6239,6338,-1,1949.85,200.0,tp,99,1,0.4344691277418633,-0.029161329187907925,-0.4794981806332483,-0.4898100069033826,0.5128599635876423,-25.067144136079467,-41.36980004596724,-41.87839942800253,4.359309690488796,6.846568058334291,-31.08924109086919,14.018758264051634,-8.71861938097851,-8.205759417392322,-6.667179526631539,-1.0257199271745954,400.5436315614019,474.3954663179217
ETH,6594,6674,-1,1868.75,-50.0,sl,80,0,0.4149919229250673,-0.007461628254841035,-0.6309098560397726,-0.04387309495582684,0.5351170568557007,23.600718749161587,50.01478931942138,66.79774826945373,5.121834687052027,4.581882359118531,44.5357065114993,38.86592387271514,10.702341137123206,31.57190635451501,37.99331103678916,-21.939799331103238,-59.933110367893505,-79.19732441471483
ETH,7742,7792,-1,1862.05,200.0,tp,50,1,0.4250085452756536,-0.00119896871926084,-0.23678443061278157,-0.2156568402939997,0.5370425069139338,-24.108649647746063,9.138065417797492,41.523984145388496,5.082723726154092,6.389072308253665,10.5922398829561,4.250839811545948,-5.370425069144424,-6.444510082972421,-20.40761526274748,84.85271609247835,90.76018366853677,191.72417496844952
ETH,8166,8406,-1,1829.1,43.4639986878782,timeout,240,1,0.43399543947605373,-0.015555598417003547,-0.29031236960619267,0.029799615811008196,1.0934339292550734,29.885120500094953,10.672358591248265,45.86022243580956,7.556409475386075,13.107291098689654,28.28517533610464,15.542844395250999,13.121207151058911,11.754414739489905,31.982942430702764,1.3667924115690067,28.155923678311325,43.4639986878782
ETH,8992,9037,-1,1848.25,-50.0,sl,45,0,0.42528704051980637,-0.027744478298673103,-0.3164476856316298,-0.057862715274029766,0.5410523468140622,-30.207406208699883,-8.649349947292828,-58.09418789166521,5.777666132055349,7.820070870324874,-28.363843760861318,-31.09954449958874,-3.7873664277010555,-7.033680508587992,-24.88840795346947,-66.81996483159702,-36.25050723657486,-311.6461517651836
ETH,10387,10451,1,2069.2,200.0,tp,64,1,0.4085652511200704,-0.04424935062417634,0.08200204399978492,-0.10699859986207591,0.9665571235273192,28.351951922840346,20.581612145571526,-21.45974489426772,6.437960840628413,8.418717138654532,16.09083672348799,22.968114602066603,-2.4163928088150044,5.074424898512397,22.955731683742542,14.256717572007638,141.84225787744253,14.498356852890026
ETH,11052,11081,1,2058.55,-50.0,sl,29,0,0.42525132994293335,-0.020499240885476055,0.891388433332302,0.04716835733901253,0.4857788249005807,-23.26314003925689,-34.854169187945594,-33.406763659249435,3.695388917996622,5.457733348007594,-26.726934032210714,-33.579056250980784,-1.943115299606335,-5.343567073913258,-24.774720069954405,-42.74853659129052,75.78149668455714,5.58645648635947
