entry_idx,entry_price,entropy,imbalance_5,imbalance_10,spread_bps,trailing_ret_bps,micro_dev_bps,ret_1,ret_5,ret_10,ret_30,vol_10,vol_30,imb_change,imb_mean_10,imb_mean_30,spread_mean_10,bid_depth_5,ask_depth_5,depth_ratio,direction,exit_reason,pnl_bps,actual_move_bps,hold_bars,won,direction_correct,opp_pnl_bps,future_5_bps,future_10_bps,future_30_bps,future_60_bps
32,67971.5,0.3849234202384778,-0.7377534151222482,-0.5579252811026478,0.14712048432063438,-25.387228609792256,0.01471204843291979,-5.146566872283875,-25.387228609792256,6.035580482992575,80.52974632388299,12.93893880195547,11.99807686922655,-0.7593273302975363,-0.20914653415764387,-0.36808878198571787,0.20560730781471542,0.1507,0.9985999999999999,0.15091127578610056,-1,tp,223.54957592520375,-223.54957592520375,174,True,True,-223.54957592520375,-28.10001250524108,-52.22777193382488,-119.7560742369963,-118.50555012027142
585,66535.5,0.41948931122093974,-0.8301824212271973,-0.9384515500730403,0.15029570680313517,21.312166762057494,0.053470587996764525,11.736824286197045,21.312166762057494,23.954260920657777,23.803246582050352,4.127765024548312,3.9285727039883347,0.08002023425847682,-0.5569307428922692,-0.38455488612682764,0.22587976997426223,0.051199999999999996,0.5518000000000001,0.09278724175425877,-1,sl,-24.347904502108886,24.347904502108886,12,False,False,24.347904502108886,0.15029570680225035,0.30059141360672115,27.353818638171656,36.37156104635775
1567,66747.5,0.4305513663853124,0.7403918613413715,0.7987427011789974,0.14981834525637666,-20.93066716501557,0.007951252960546136,3.1471754100698135,-20.93066716501557,18.762430109948713,66.35750103683557,16.36607307506106,11.20687447615232,0.03887094879384301,-0.1498910318884168,-0.1877603919952079,0.14953362387145946,1.8476,0.2756,6.703918722786646,1,sl,-16.779654668713782,-16.779654668713782,2,False,False,16.779654668713782,-26.81748380089166,-37.75422300460684,-66.06989025806254,16.330199632945686
7150,65919.5,0.42250795308221734,-0.5323040222649261,-0.318388473106246,0.151700179764713,-21.570645757016393,0.0007713568459319942,-33.112332453866244,-21.570645757016393,-19.228876624802773,-38.08286044596265,11.229402933572832,6.844623493416584,-0.6266972089221299,-0.04773205649284678,-0.09903444304761226,0.19673400970923421,0.3529,1.1562,0.3052240096869054,-1,sl,-17.29382049317829,17.29382049317829,1,False,False,17.29382049317829,-14.86661761694208,-15.700968605647514,-27.45773253741257,-21.99652606588387
8595,63146.0,0.42660108555230897,0.8900701679778865,0.7974604865920796,0.6334526335793241,43.34099421855031,0.051405841993245924,-5.776916076445371,43.34099421855031,28.82576690039551,38.95009618289036,19.168745758023668,11.857085336544268,0.024531499115118094,-0.1398731313423534,0.18660489912718664,0.3492705872033497,0.8889,0.0517,17.193423597678915,1,tp,201.67548221581734,201.67548221581734,148,True,True,-201.67548221581734,22.9626579672515,67.70025021379134,61.20736071960175,101.74832926867828
9194,64164.5,0.4202284170098184,0.8188812309665011,0.8169898351413685,0.15584941829204624,21.084031579194917,0.03456810405675534,2.6501422502822614,21.084031579194917,34.09099794359438,26.564782911031593,3.2566921123451875,4.630114026505547,1.3393232199167775,0.12072215560064366,-0.021029230960912047,0.17169625202863772,0.5674,0.056499999999999995,10.042477876106195,1,tp,238.13791115024685,238.13791115024685,33,True,True,-238.13791115024685,12.77965229994793,7.0132238231424004,38.8065051547204,312.16638483896776
9417,65584.5,0.3917434222239763,-0.8726666666666666,0.23835187760778861,0.15247505126973598,34.424987951253705,0.052162517539996865,5.797410998298336,34.424987951253705,18.789670264200975,13.741611891073813,6.775530521900824,7.979970174106831,-0.5875602836879432,-0.09348012394817921,0.28038821505063727,0.18337806370755677,0.038200000000000005,0.5618,0.06799572801708795,-1,timeout,57.94051948250001,-57.94051948250001,240,True,True,-57.94051948250001,-6.8613773071379835,3.2019760766655025,-21.956407382841547,-56.41576896980194
10388,69150.5,0.42299915534265214,0.7508253126888919,0.5470786352320982,0.14461211415680292,47.512840817454105,-0.021786541215579096,4.195510803439717,47.512840817454105,53.94049098932152,22.90103996811288,8.330222200556522,7.3497811959286174,0.13406008808052994,0.3875998104541404,0.5267830136947179,0.14513373187488238,3.7655,0.5359,7.026497480873297,1,sl,-15.473496214778448,-15.473496214778448,4,False,False,15.473496214778448,-10.990520675917548,-3.03685439729251,6.218320908741859,-12.870478159955345
10402,69259.5,0.4187259687682462,-0.9444958371877891,-0.6484118910365095,0.14438452486662479,22.284767493181423,-0.0704097374342846,12.722002558858136,22.284767493181423,31.28462491038153,74.03582519399876,3.798575836415765,6.581704878499738,-0.685646279665665,0.023717470276535,0.24978728920221988,0.14465528933722355,0.0030000000000000005,0.1051,0.0285442435775452,-1,sl,-27.577444249524685,27.577444249524685,48,False,False,27.577444249524685,-13.427760812596556,-11.695146514196786,-38.40628361452269,-53.92762003768481
11770,67431.5,0.41602468683573934,0.631505280570047,0.44501360087610853,0.14829864380890237,-30.01426786625183,-0.04691079548973437,-0.7414382419013155,-30.01426786625183,-32.96159161622625,-31.340779232298388,6.555868510808425,8.06298171607817,0.34787143868377796,0.4249074695055232,0.39566146007735875,0.16272905783853106,0.6411,0.1448,4.427486187845304,1,sl,-19.57542098277476,-19.57542098277476,70,False,False,19.57542098277476,20.02031691420214,11.567294217094126,39.44743925316851,5.042153889502909
