entry_idx,entry_price,entropy,imbalance_5,imbalance_10,spread_bps,trailing_ret_bps,micro_dev_bps,ret_1,ret_5,ret_10,ret_30,vol_10,vol_30,imb_change,imb_mean_10,imb_mean_30,spread_mean_10,bid_depth_5,ask_depth_5,depth_ratio,direction,exit_reason,pnl_bps,actual_move_bps,hold_bars,won,direction_correct,opp_pnl_bps,future_5_bps,future_10_bps,future_30_bps,future_60_bps
1009,28009.035,0.33935500645668204,-0.14233695387629242,-0.1434412617308764,0.00357027652042895,-20.479920645651852,-0.0003431809627165062,-4.439452241539188,-20.479920645651852,-22.140141215982734,-23.348519666452905,2.8793537107513436,2.637888333656124,0.5246839178386102,0.0776424473558155,0.15447410516680732,0.003564721378688055,10.04326,13.376800000000001,0.7507969020991567,-1,timeout,39.28732282279523,-39.28732282279523,240,True,True,-39.28732282279523,-15.052285807062304,-15.980557702183207,-12.460265053757524,-26.402194863193174
2956,27479.995000000003,0.41610092325299275,0.7656711797330965,0.7572771363577837,0.0036390108507659076,-24.42708963877882,0.0013848380597156352,-3.135843693833351,-24.42708963877882,-11.49332745460252,22.56536506416884,4.980574710870877,7.964696353502878,0.8567724876080871,-0.1669379278994803,0.046152486376464304,0.003634120652907747,18.564770000000003,2.4637999999999995,7.535015017452718,1,sl,-16.008008735083344,-16.008008735083344,22,False,False,16.008008735083344,7.390831039086887,0.6768560183489924,-24.417762812548595,-7.903931569128719
8692,26853.705,0.42679434827473434,-0.11471320215548848,-0.10030845775297496,0.003723880931290222,27.524276983621476,-0.00013036047339863758,7.121404291736688,27.524276983621476,20.082175725752993,4.660746289426587,5.0087521539161175,3.516515004310966,0.19802388745138794,0.27282579739492097,0.0074010319459132425,0.0037318247850761425,5.220160000000001,6.57299,0.7941834690148625,-1,sl,-17.759188164165884,17.759188164165884,21,False,False,17.759188164165884,-0.4431418308958879,10.910971130424496,6.870560319329755,13.517687782744758
9232,26938.915,0.41074960332169774,0.24798130542897504,0.38440502269375587,0.003712101990150416,-31.342956891591278,0.0004488031058220317,0.23386789470780656,-31.342956891591278,-54.0771342183255,62.33745859717254,15.063868350932996,16.763320525186764,1.0712909560794854,0.0073906109444637855,-0.12298348540743081,0.0037050042509327954,6.41395,3.86497,1.6595083532343071,1,sl,-18.1169137658288,-18.1169137658288,2,False,False,18.1169137658288,-1.4551439803711652,20.817467964096004,28.675987878501452,36.64958295462206
13502,28642.995000000003,0.35230905922018996,0.5000591837399264,0.5250958734196096,0.0034912550165928135,26.79366410707873,0.0009125299550368283,19.070621990155967,26.79366410707873,40.35351388773422,61.94616121915297,8.311836898149295,7.441972224501165,-0.14063359652597718,0.16125417425545263,-0.017630438002227976,0.0034993503070263727,14.51047,4.83606,3.0004735259694875,1,sl,-19.722099591891194,-19.722099591891194,2,False,False,19.722099591891194,-14.356040630528755,-43.60577516422492,-77.67344162159185,-107.7052172791293
13512,28518.095,0.4065985439785565,-0.9210680850981899,-0.8604727703753677,0.003506545580411065,-29.291785940606108,-0.0017466944150638063,-9.42371858884572,-29.291785940606108,-43.60577516422492,23.640782423433038,6.681169312289031,7.58086349365251,-0.9459203533277002,0.21916317220417922,0.08270450876566987,0.00349977539505491,0.6149399999999999,14.96659,0.04108751559306428,-1,timeout,46.503807494856495,-46.503807494856495,240,True,True,-46.503807494856495,-1.0028720361587862,-11.185880403302706,-51.20608511893887,-40.03423089796176
13823,28389.995000000003,0.42287760407749514,0.9436900115540541,0.9448737648926349,0.003522367650434348,20.708526692627682,0.0016506861203368375,2.339399271158449,20.708526692627682,13.780855474734288,22.261497758231386,7.385887662986376,5.356591493686663,1.190504794615795,0.03788487956665846,-0.10283555709481605,0.003525990734578702,18.647830000000003,0.5402400000000002,34.517677328594694,1,sl,-15.84360969419052,-15.84360969419052,12,False,False,15.84360969419052,-4.744629225894581,-13.427265485606021,-10.528356908834358,-3.938007033815749
17856,28712.504999999997,0.4296494170982129,-0.1117287090397109,-0.12180734457080676,0.0034828030498903844,-35.381547213023666,-0.0001286923644819546,-5.6911422331318295,-35.381547213023666,-32.55193529882128,-3.5964416465161797,4.844754715280519,5.688112402716697,0.464396380856839,0.020810493275823315,-0.024092165614850978,0.003474907547734353,6.7758400000000005,8.4804,0.7990000471675865,-1,sl,-18.918586170033613,18.918586170033613,186,False,False,18.918586170033613,-6.018283671173075,-5.269481015326427,-21.25206421383141,-19.17631359576566
18869,29629.265,0.4313459077313259,-0.8613950202977723,-0.8025021539345205,0.0033750415347924656,24.586729290028142,-0.0014288883609383158,4.142891606659926,24.586729290028142,10.20640692751762,30.019716941962482,6.582294130346222,6.905736314460158,-1.0688812862510033,-0.20669282684514673,0.022354067230293644,0.0033792112072602008,0.5160699999999999,6.930560000000001,0.07446295826022716,-1,sl,-18.70110514047507,18.70110514047507,11,False,False,18.70110514047507,7.141587886165812,6.108825176729393,-35.859816299864676,-10.148749893053033
19233,29541.555,0.40507345826740204,0.4461438645815373,0.4588373614988251,0.0033850621614323513,21.374867721593027,0.0008345356534148969,4.016296138513731,21.374867721593027,42.48625137358797,41.69429205277852,2.8972169699757204,4.959596707557894,0.24982868233381433,0.1728298690746893,-0.14347870424450232,0.003391768666429136,12.37064,4.737809999999999,2.6110460318163886,1,timeout,41.79536249869109,41.79536249869109,240,True,True,-41.79536249869109,6.719348389074842,0.7142481159161385,22.754387844512447,19.897395380845673
