pair,entry_idx,exit_idx,direction,entry_price,pnl_bps,reason,hold,winner,H,dH_5,imb5,imb10,spread_bps,ret_5,ret_15,ret_30,atr_bps,vol_30,vwap_pos_30,vwap_pos_240,fwd_5,fwd_10,fwd_30,fwd_60,fwd_120,fwd_240
BTC,32,206,-1,67971.5,200.0,tp,174,1,0.3849234202384778,,-0.7377534151222482,-0.5579252811026478,0.14712048432063438,-25.387228609792256,86.2139322308031,80.52974632388299,12.221508804635555,11.99807686922655,33.3260733151608,38.28959615692629,28.10001250524108,52.22777193382488,119.7560742369963,118.50555012027142,121.81576101748526,247.01529317434523
BTC,585,766,-1,66535.5,-65.0,sl,181,0,0.41948931122093974,-0.04166942838016996,-0.8301824212271973,-0.9384515500730403,0.15029570680313517,21.312166762057494,8.273102639120289,23.803246582050352,3.6554062976048236,3.9285727039883347,15.321655405124979,26.771039559774223,-0.15029570680225035,-0.30059141360672115,-27.353818638171656,-36.37156104635775,-35.16919539193309,-32.98990764328824
BTC,1567,1594,1,66747.5,-65.0,sl,27,0,0.4305513663853124,-0.03529382013425264,0.7403918613413715,0.7987427011789974,0.14981834525637666,-20.93066716501557,42.125850979801704,66.35750103683557,10.26790730524937,11.20687447615232,11.013055299347041,81.10148574613119,-26.81748380089166,-37.75422300460684,-66.06989025806254,16.330199632945686,32.96003595640195,38.802951421401666
BTC,7150,7325,-1,65919.5,200.0,tp,175,1,0.42250795308221734,-0.003643757571683337,-0.5323040222649261,-0.318388473106246,0.151700179764713,-21.570645757016393,-30.399044169358014,-38.08286044596265,5.060284567865783,6.844623493416584,-31.056163927467573,-43.96023963973206,14.86661761694208,15.700968605647514,27.45773253741257,21.99652606588387,66.29297855717975,148.51447598965396
BTC,8595,8743,1,63146.0,200.0,tp,148,1,0.42660108555230897,-0.01954744657167895,0.8900701679778865,0.7974604865920796,0.6334526335793241,43.34099421855031,34.24412645696373,38.95009618289036,11.33427747940156,11.857085336544268,32.60068510620107,5.891848175316738,22.9626579672515,67.70025021379134,61.20736071960175,101.74832926867828,154.16653469736863,190.74842428657314
BTC,9194,9227,1,64164.5,200.0,tp,33,1,0.4202284170098184,-0.07244949502514836,0.8188812309665011,0.8169898351413685,0.15584941829204624,21.084031579194917,20.927526725544876,26.564782911031593,3.601234772676682,4.630114026505547,25.435364739261335,9.388003757553331,12.77965229994793,7.0132238231424004,38.8065051547204,312.16638483896776,279.5938564159317,225.51410826859185
BTC,9417,9657,-1,65584.5,57.94051948250001,timeout,240,1,0.3917434222239763,-0.09427784051614069,-0.8726666666666666,0.23835187760778861,0.15247505126973598,34.424987951253705,37.03562000229476,13.741611891073813,6.316823552603507,7.979970174106831,28.988125442104273,18.921390144126526,6.8613773071379835,-3.2019760766655025,21.956407382841547,56.41576896980194,76.84742583994652,57.94051948250001
BTC,10388,10514,1,69150.5,-65.0,sl,126,0,0.42299915534265214,-0.0328342467128499,0.7508253126888919,0.5470786352320982,0.14461211415680292,47.512840817454105,55.91425995404631,22.90103996811288,6.161509006752203,7.3497811959286174,44.61071980420117,41.53132453427189,-10.990520675917548,-3.03685439729251,6.218320908741859,-12.870478159955345,-56.25411240699596,-97.4685649416851
BTC,11770,12010,1,67431.5,9.936009135196322,timeout,240,1,0.41602468683573934,-0.12056465895170831,0.631505280570047,0.44501360087610853,0.14829864380890237,-30.01426786625183,-30.309078677932533,-31.340779232298388,5.9955023139884815,8.06298171607817,-26.075247103025667,50.08024362904262,20.02031691420214,11.567294217094126,39.44743925316851,5.042153889502909,-5.93194575235656,9.936009135196322
BTC,12902,13142,-1,66248.5,101.73815256194429,timeout,240,1,0.41332834964972043,-0.019415741249671492,-0.5610389610389611,-0.05351159248603815,0.15094681389012582,29.521524219005002,11.712079309667,5.437039833868784,6.533840658386874,7.543201681520537,11.9602496139537,17.933945707551135,-2.1132553944624988,66.11470448387502,45.58593779481757,33.66113949749838,30.64220321969513,101.73815256194429
