pair,bar_idx,ret_5_bps,abs_ret_5_bps,direction,mid_price,imb5_before,imb10_before,spread_before,depth_ratio_before,prior_ret_5,vol_30_before,micro_dev_before,total_depth_before,imb5_change
BTC,22349,1043.6610090536158,1043.6610090536158,1,29967.585,-0.5550888665882451,-0.5608479178755886,0.0033369388952761087,0.28135481816968094,-12.977177463902034,3.3710784374109357,-0.0009662171780602792,18.71502,-0.6072548291238283
BTC,22352,1040.7538837341801,1040.7538837341801,1,29984.995000000003,0.9962302919369863,0.9964404086728029,0.0033350013893279915,560.8622521970163,-2.207283602432275,3.2952902011405976,0.001661832771874703,27.491920000000004,1.8928016914766088
BTC,22350,1040.396684176763,1040.396684176763,1,29968.425,0.4774372623824958,0.4434324704122825,0.003336845363757778,2.593454331555271,-13.079987036649365,3.3706720698998778,0.0008197354224330441,22.35894,0.3685622355116559
BTC,22351,1016.1726762317325,1016.1726762317325,1,29976.795,0.4272254521020189,0.4102644830293128,0.003335913662017334,2.391350770720852,-10.290700629089766,3.2781235343327975,0.0009304988945128584,26.33099000000001,-0.04853732653488735
BTC,22353,1013.797965589025,1013.797965589025,1,29992.465,0.3351111020796107,0.30958172742781326,0.0033341707665699594,1.8967947104715275,9.167363451920707,3.3136968099489352,0.000544211873829508,22.790879999999998,0.11868222916856175
BTC,204768,-656.2195407427862,656.2195407427862,-1,67174.775,0.4510427155491393,0.2074187242458367,0.0014886540363940647,1.5234005157350505,-50.0926007323188,35.879589436177,0.0006285420926483245,3.9338300000000004,1.1979137182572774
BTC,204771,-624.3059143321105,624.3059143321105,-1,66981.10500000001,-0.5348517102505868,-0.5711049934067598,0.0014929583491883733,0.27298939815806383,-58.283796880342905,37.61087591805066,-0.00034413890104935917,4.75487,-0.500462969468812
BTC,204769,-623.4051288045683,623.4051288045683,-1,66899.995,-0.33984491212073203,-0.4800969364878953,0.0014947684218453695,0.351262846841489,-95.98017419381155,36.27235587776693,-0.0002682082141671865,3.63537,0.39707802150891885
BTC,13089,610.3038923972082,610.3038923972082,1,28144.995000000003,-0.005687668855959367,0.10108999085473432,0.003553029587818114,1.2249168210972674,72.23596341786154,13.466691398663388,-0.00026092110973121,8.332180000000001,0.25172352114933627
BTC,204770,-599.376169719269,599.376169719269,-1,66679.995,0.27345784957092373,0.1574727805631941,0.0014997001716573783,1.3738105474347952,-155.53168585130007,36.37743933712916,0.00019890771739753703,3.3128900000000003,0.6036856903359471
BTC,224229,-512.7459947448376,512.7459947448376,-1,66271.995,0.7586321307704218,0.7374196642024032,0.0015089329957188268,6.616716590467183,-5.133771005912946,4.584877159379622,0.0006036967314796756,8.69631,1.4000133428882915
BTC,415668,-480.17598565313955,480.17598565313955,-1,55699.994999999995,0.31436980182936713,0.3949982146682854,0.0017953322979718882,2.3057753687510623,-80.05944841029344,28.188509061696628,0.0002110412804859513,3.500749999999999,0.18123813665578123
BTC,117355,-474.64964276605514,474.64964276605514,-1,42952.945,0.09151477398911244,0.3422506701679523,0.0023281290711873914,2.0406720452466107,-172.01793535232767,51.17830779091423,-0.0010537035625690662,2.19348,0.7823374281672733
BTC,13088,464.1200400071477,464.1200400071477,1,28009.995000000003,0.9234741614621862,0.9236501853265445,0.0035701541533296557,25.195217480931763,21.46690902806947,10.50899967401076,0.0016610223532050148,16.519489999999998,0.7044569025863097
BTC,13090,456.3075011143991,456.3075011143991,1,28299.995000000003,0.9409023032716411,0.5373118331064272,0.0035335695283335877,3.322565699978314,115.45199904421378,16.391547557373215,0.001433580141909028,4.38507,0.34810297436693205
BTC,224231,-424.48231025639217,424.48231025639217,-1,66260.005,0.4729712832444283,0.4241260063520584,0.0015092060428853438,2.4729819753289513,-2.60421126309196,4.387582173174098,0.00038058533758912334,38.42219,-0.4328374340718917
