pair,bar_idx,ret_5_bps,abs_ret_5_bps,direction,mid_price,imb5_before,imb10_before,spread_before,depth_ratio_before,prior_ret_5,vol_30_before,micro_dev_before,total_depth_before,imb5_change
ETH,410242,-823.8582744432665,823.8582744432665,-1,2516.6949999999997,0.24032349813271342,0.2561279150195134,0.03973465199304458,1.688634296651237,-61.23134033646727,49.69505313111829,0.003924574584224857,19.806900000000002,0.5936025884179796
ETH,410246,-721.1042843594062,721.1042843594062,-1,2425.1,-0.8322834872148877,-0.832992076916229,0.8247082594524684,0.09111219038368137,-394.4072009268529,64.4966721043352,0.08445807476388237,7.8631,-1.7979887205393512
ETH,410243,-717.3490285505413,717.3490285505413,-1,2517.115,0.27460859537854265,0.08922570708485011,0.0397280219607111,1.1959337407279294,-38.3882476556463,49.760563198803986,0.0023309445859670576,34.281600000000005,0.4629220190403187
ETH,248341,-690.6066409114742,690.6066409114742,-1,3156.645,-0.4340786857043092,-0.3426235788832319,0.031679203712226996,0.4896207927940316,-37.96539563066692,13.771058887220446,-0.005407265686339798,64.99290000000002,-0.09212541901435395
ETH,191183,-682.3341737229749,682.3341737229749,-1,3428.965,0.24089712501061483,0.1538407564707388,0.8457362498595454,1.3636212867664994,-117.27390763634938,32.45470106387972,-0.2535005870147165,24.228300000000004,0.10817326671960062
ETH,410245,-673.4518819542867,673.4518819542867,-1,2465.6549999999997,0.07729672650475176,-0.27336178042861,0.3650145701636716,0.5706455390288263,-231.1802076461833,59.052889445413435,-0.150259757267536,6.3041,-0.6191354742232198
ETH,410244,-637.5831584809233,637.5831584809233,-1,2514.025,-0.773658946465125,-0.36048548341788256,0.0397768518619277,0.47006346218079126,-71.36383113587775,49.579928531207976,-0.012470494557736262,48.4136,-1.7127326133150425
ETH,90499,-610.3427345756485,610.3427345756485,-1,2314.7650000000003,0.6090771749628393,0.6986304910037712,0.04320092968298522,5.636371432071541,-48.237628359595334,11.150712023764656,0.012830935340617723,54.172700000000006,-0.30723347344569596
ETH,248345,-596.8155284127652,596.8155284127652,-1,3068.955,-0.1503980266846058,-0.1371632733196226,2.834841175578954,0.7587623931623931,-291.2048541523982,41.21704368258576,-1.3530660913021857,25.721899999999998,0.35365958376786655
ETH,199076,-578.2103696512442,578.2103696512442,-1,3584.5950000000003,-0.01744726834017316,0.03302109374215636,0.027897154350110767,1.068297443777644,-3.792574084169331,76.96149142650927,-0.0004808370849041662,79.6824,0.22265008114237758
